video_order,video_id
1,https://www.youtube.com/watch?v=W70zjwnBiAg
2,https://www.youtube.com/watch?v=56FrMWbAKnc
3,https://www.youtube.com/watch?v=Tyq5siXfZNk
4,https://www.youtube.com/watch?v=mR2EfqT8M8g
5,https://www.youtube.com/watch?v=nXjuWDgx1pc
6,https://www.youtube.com/watch?v=OXIPJrEpQ8k
7,https://www.youtube.com/watch?v=v0LUkGvc0-Y
8,https://www.youtube.com/watch?v=SKTSxPwdD9s
9,https://www.youtube.com/watch?v=uMP8KrwJ-Y4
10,https://www.youtube.com/watch?v=Ao4FLJlHoyU
11,https://www.youtube.com/watch?v=q369iQJ49cY
12,https://www.youtube.com/watch?v=zcGWMqdv1eQ
13,https://www.youtube.com/watch?v=FtYRQLKK6zo
14,https://www.youtube.com/watch?v=cfGSQXcPvR0
15,https://www.youtube.com/watch?v=cX7rmW8lSLs
16,https://www.youtube.com/watch?v=MdyUk7Y7uuw
17,https://www.youtube.com/watch?v=g-fmCxT3HNA
18,https://www.youtube.com/watch?v=FJm06ve9PUI
19,https://www.youtube.com/watch?v=L8GFIWUAeaY
20,https://www.youtube.com/watch?v=R5oS4NrOHTs
21,https://www.youtube.com/watch?v=Xb9A-35mKU4
22,https://www.youtube.com/watch?v=JBDyxRQl-wU
23,https://www.youtube.com/watch?v=0bOc7eDNgDo
24,https://www.youtube.com/watch?v=Ce11rRNAbVU
25,https://www.youtube.com/watch?v=r_yoGN9RJXw
26,https://www.youtube.com/watch?v=C1BlxJWEJuE
27,https://www.youtube.com/watch?v=AOcLWww3zts
28,https://www.youtube.com/watch?v=i155__LlhFY
29,https://www.youtube.com/watch?v=l0RtIloUnVg
30,https://www.youtube.com/watch?v=MjcA8P3pA94
31,https://www.youtube.com/watch?v=0rYO3W7ccsk
32,https://www.youtube.com/watch?v=v9ieT9RN3Qo
33,https://www.youtube.com/watch?v=nEsMOKNqzk8
34,https://www.youtube.com/watch?v=oRvMa83xHoU
35,https://www.youtube.com/watch?v=yjoRo29rjVU
36,https://www.youtube.com/watch?v=8HXFurHCkP8
37,https://www.youtube.com/watch?v=fcl6Z-cHvFo
38,https://www.youtube.com/watch?v=e7sHp0HeQls
39,https://www.youtube.com/watch?v=Il43JqfzaRM
40,https://www.youtube.com/watch?v=00aY0Hfy9Zk
41,https://www.youtube.com/watch?v=CC_1zOziJyo
42,https://www.youtube.com/watch?v=weQfrogfV_Y
43,https://www.youtube.com/watch?v=rPso1-N9O9s
44,https://www.youtube.com/watch?v=hXO_RwR1UA8
45,https://www.youtube.com/watch?v=3yyTs0aYVS8
46,https://www.youtube.com/watch?v=oTrYy_O89cM
47,https://www.youtube.com/watch?v=zS2Q2VBRtPs
48,https://www.youtube.com/watch?v=LALbjarglYE
49,https://www.youtube.com/watch?v=fjfIiHleIz0
50,https://www.youtube.com/watch?v=wOATcUW3K8A
