video_order,video_id
1,https://www.youtube.com/watch?v=v0LUkGvc0-Y
2,https://www.youtube.com/watch?v=-92vMKI6_BA
3,https://www.youtube.com/watch?v=jrqi87g-zT0
4,https://www.youtube.com/watch?v=YES8_yA63ao
5,https://www.youtube.com/watch?v=GXOxQg--xPA
6,https://www.youtube.com/watch?v=tqbfj4SeTF8
7,https://www.youtube.com/watch?v=asWR_Pj7yPg
8,https://www.youtube.com/watch?v=rPso1-N9O9s
9,https://www.youtube.com/watch?v=739IAKq9__A
10,https://www.youtube.com/watch?v=XuZIFHzSsSk
11,https://www.youtube.com/watch?v=00aY0Hfy9Zk
12,https://www.youtube.com/watch?v=YfFtlbfFNqs
13,https://www.youtube.com/watch?v=IWnhTCPkitE
14,https://www.youtube.com/watch?v=LALbjarglYE
15,https://www.youtube.com/watch?v=ppLaolZmOo4
16,https://www.youtube.com/watch?v=wLZTaCL4yA0
17,https://www.youtube.com/watch?v=fPpl89YNBOQ
18,https://www.youtube.com/watch?v=R5oS4NrOHTs
19,https://www.youtube.com/watch?v=ByEO2vMc84U
20,https://www.youtube.com/watch?v=75Je_0hZovQ
21,https://www.youtube.com/watch?v=Pl1ze7kbJ-Q
22,https://www.youtube.com/watch?v=j4tuBwD34gw
23,https://www.youtube.com/watch?v=Uxa167uhkFc
24,https://www.youtube.com/watch?v=S7TOHdXo8HE
25,https://www.youtube.com/watch?v=eD2lOz3OFxs
26,https://www.youtube.com/watch?v=1ZSMMWvmli0
27,https://www.youtube.com/watch?v=g-fmCxT3HNA
28,https://www.youtube.com/watch?v=1C1qO0Ot70U
29,https://www.youtube.com/watch?v=ZWajxzWrMAg
30,https://www.youtube.com/watch?v=aKZ_MUbuk_Q
31,https://www.youtube.com/watch?v=TfsdEu4PLj0
32,https://www.youtube.com/watch?v=1BLq-HK9WBM
33,https://www.youtube.com/watch?v=w6VQPX_6JRY
34,https://www.youtube.com/watch?v=XJq4-kwXXn0
35,https://www.youtube.com/watch?v=mb4x-z-dkVE
36,https://www.youtube.com/watch?v=kKP8OozDzzA
37,https://www.youtube.com/watch?v=cf-JO-SJlwU
38,https://www.youtube.com/watch?v=fPlcSnuQjMc
39,https://www.youtube.com/watch?v=zpd9yy7AVd4
40,https://www.youtube.com/watch?v=4Y7q_Ar_09I
41,https://www.youtube.com/watch?v=ePjv9KbnAH8
42,https://www.youtube.com/watch?v=1eVqgmmjKxg
43,https://www.youtube.com/watch?v=OhvDLuCKPhc
44,https://www.youtube.com/watch?v=efRyUK0oRyM
45,https://www.youtube.com/watch?v=SP1Chc1HKoA
46,https://www.youtube.com/watch?v=unh9C2KGbww
47,https://www.youtube.com/watch?v=BXQIgkT9w9w
48,https://www.youtube.com/watch?v=iwdNUAQjNRg
49,https://www.youtube.com/watch?v=yT6CHcJLItY
50,https://www.youtube.com/watch?v=6pF1MDHSeAc
